Build tool,Group id,Artifact id,Version,Dependency group id,Dependency artifact id,Dependency version,Direct Dependency,Resolution failure
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,com.github.ben-manes.caffeine,caffeine,3.2.3,true,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.jspecify,jspecify,1.0.0,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,com.google.errorprone,error_prone_annotations,2.43.0,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-starter-actuator,4.0.1,true,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-starter-micrometer-metrics,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-starter,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-autoconfigure,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework,spring-context,7.0.2,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,io.micrometer,micrometer-observation,1.16.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,io.micrometer,micrometer-commons,1.16.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework,spring-aop,7.0.2,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework,spring-beans,7.0.2,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework,spring-core,7.0.2,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,commons-logging,commons-logging,1.3.5,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework,spring-expression,7.0.2,false,
