Source path,Class name,Signature,Checksum,Description,Return value description,Technique 1,Technique 2,Technique 3,Inference time (ms),Input tokens,Output tokens
src/main/java/org/springframework/samples/petclinic/PetClinicApplication.java,org.springframework.samples.petclinic.PetClinicApplication,"org.springframework.samples.petclinic.PetClinicApplication{name=main,return=void,parameters=[java.lang.String[]]}",763485badb0921274613549aebb3128c5f0e9d8d4ebdf87e201a73c2e687f04c,Launches the Spring Boot application by running the PetClinicApplication class.,Returns nothing (void).,Spring Boot application startup,,,1142,388,71
src/main/java/org/springframework/samples/petclinic/PetClinicRuntimeHints.java,org.springframework.samples.petclinic.PetClinicRuntimeHints,"org.springframework.samples.petclinic.PetClinicRuntimeHints{name=registerHints,return=void,parameters=[org.springframework.aot.hint.RuntimeHints,java.lang.ClassLoader]}",e439b71dae8279784075fdebf0c973b225a3b97604fc297e8653bf14002b2be5,Registers runtime hints for resource patterns and serialization types to enable proper Ahead-of-Time (AOT) compilation and native image generation.,void,Resource pattern registration for database files,Resource pattern registration for message files,Serialization type registration for entity classes,1253,513,126
src/main/java/org/springframework/samples/petclinic/owner/Owner.java,org.springframework.samples.petclinic.owner.Owner,"org.springframework.samples.petclinic.owner.Owner{name=addPet,return=void,parameters=[org.springframework.samples.petclinic.owner.Pet]}",5c5ebdf06b4077169c9d8f246ed457808dab138303df9f007a9f4d06877b3edb,Adds a new pet to the collection of pets if the pet is new.,void,Collection manipulation,,,821,384,66
src/main/java/org/springframework/samples/petclinic/owner/Owner.java,org.springframework.samples.petclinic.owner.Owner,"org.springframework.samples.petclinic.owner.Owner{name=addVisit,return=void,parameters=[java.lang.Integer,org.springframework.samples.petclinic.owner.Visit]}",cd8d9f93c6fa507c78cca4641e0e77443f027c7d6eabf8815da57a43d6747258,"Adds a visit to a pet identified by its ID, validating that both the pet ID and visit exist before associating them.",void,Object validation using Assert.notNull,Repository lookup via getPet method,,1160,516,101
src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,org.springframework.samples.petclinic.owner.OwnerController,"org.springframework.samples.petclinic.owner.OwnerController{name=findOwner,return=org.springframework.samples.petclinic.owner.Owner,parameters=[java.lang.Integer]}",e6beb893f03a2308f801f5f60a08ee031ce1000f3aa0fbd1226a999018c14ca7,Retrieves an owner entity by ID from the database or creates a new empty owner object if no ID is provided.,Returns an Owner object either retrieved from the database by ID or a new empty Owner instance when no ID is provided.,Database query using repository findById method,HTTP path variable extraction,Spring MVC model attribute binding,1505,510,140
src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,org.springframework.samples.petclinic.owner.OwnerController,"org.springframework.samples.petclinic.owner.OwnerController{name=initCreationForm,return=java.lang.String,parameters=[]}",2bad9e578417ff8cd30c3244fd9adf1cc32a92f00167bff0081def19381c2ed6,Initializes a form for creating a new owner by returning the view template for owner creation or update.,The name of the view template for displaying the owner creation/update form.,HTTP GET request handling,,,1094,383,86
src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,org.springframework.samples.petclinic.owner.OwnerController,"org.springframework.samples.petclinic.owner.OwnerController{name=processCreationForm,return=java.lang.String,parameters=[org.springframework.samples.petclinic.owner.Owner,org.springframework.validation.BindingResult,org.springframework.web.servlet.mvc.support.RedirectAttributes]}",8276e6a6ec2372df9427eb699171bfb1ceb093ab8199c2f3ad52432406c9cc0c,"Processes the creation of a new owner by validating the input, saving it to the repository, and redirecting to the owner's detail page.","Returns the view name for the owner creation form if validation fails, or redirects to the owner's detail page upon successful creation.",HTTP POST request handling,Input validation using Bean Validation,Database persistence through repository pattern,1513,547,145
src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,org.springframework.samples.petclinic.owner.OwnerController,"org.springframework.samples.petclinic.owner.OwnerController{name=initFindForm,return=java.lang.String,parameters=[]}",e2577a3c8577e55b5a7a6c4820d6a03f6772d784a09784463d02e3d15832d0d3,Initializes the form for finding pet owners by returning the view template name.,Returns the string 'owners/findOwners' which represents the view template name.,HTTP GET mapping,,,983,376,81
src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,org.springframework.samples.petclinic.owner.OwnerController,"org.springframework.samples.petclinic.owner.OwnerController{name=processFindForm,return=java.lang.String,parameters=[int,org.springframework.samples.petclinic.owner.Owner,org.springframework.validation.BindingResult,org.springframework.ui.Model]}",2830200dbae5895412182d25e4d17c2d982525c33170e87684f1124ab15fcbe5,"Handles HTTP GET requests to search for pet clinic owners by last name, returning paginated results or redirecting to a specific owner's page when exactly one match is found.","Returns a view name string that determines the next page to render, either the search results page, a specific owner's page, or a redirect URL.",HTTP GET request handling,database query with pagination,URL redirection,1598,654,151
src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,org.springframework.samples.petclinic.owner.OwnerController,"org.springframework.samples.petclinic.owner.OwnerController{name=initUpdateOwnerForm,return=java.lang.String,parameters=[]}",bca3721c9d504dbeb89faadb80652ed3a24edc330cd03c67fac6cdbede3b7aad,Initializes a form for updating an owner's information by returning the view template name for the create or update form.,Returns the view template name VIEWS_OWNER_CREATE_OR_UPDATE_FORM as a String.,HTTP GET mapping,,,1214,387,94
