Source path,Service class,Service name,Method name,HTTP method,Path,Produces,Consumes,Framework,Method signature
src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,org.springframework.samples.petclinic.owner.OwnerController,Owner,initCreationForm,GET,/owners/new,,,Spring,"org.springframework.samples.petclinic.owner.OwnerController{name=initCreationForm,return=java.lang.String,parameters=[]}"
src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,org.springframework.samples.petclinic.owner.OwnerController,Owner,processCreationForm,POST,/owners/new,,,Spring,"org.springframework.samples.petclinic.owner.OwnerController{name=processCreationForm,return=java.lang.String,parameters=[org.springframework.samples.petclinic.owner.Owner,org.springframework.validation.BindingResult,org.springframework.web.servlet.mvc.support.RedirectAttributes]}"
src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,org.springframework.samples.petclinic.owner.OwnerController,Owner,initFindForm,GET,/owners/find,,,Spring,"org.springframework.samples.petclinic.owner.OwnerController{name=initFindForm,return=java.lang.String,parameters=[]}"
src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,org.springframework.samples.petclinic.owner.OwnerController,Owner,processFindForm,GET,/owners,,,Spring,"org.springframework.samples.petclinic.owner.OwnerController{name=processFindForm,return=java.lang.String,parameters=[int,org.springframework.samples.petclinic.owner.Owner,org.springframework.validation.BindingResult,org.springframework.ui.Model]}"
src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,org.springframework.samples.petclinic.owner.OwnerController,Owner,initUpdateOwnerForm,GET,/owners/{ownerId}/edit,,,Spring,"org.springframework.samples.petclinic.owner.OwnerController{name=initUpdateOwnerForm,return=java.lang.String,parameters=[]}"
src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,org.springframework.samples.petclinic.owner.OwnerController,Owner,processUpdateOwnerForm,POST,/owners/{ownerId}/edit,,,Spring,"org.springframework.samples.petclinic.owner.OwnerController{name=processUpdateOwnerForm,return=java.lang.String,parameters=[org.springframework.samples.petclinic.owner.Owner,org.springframework.validation.BindingResult,int,org.springframework.web.servlet.mvc.support.RedirectAttributes]}"
src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,org.springframework.samples.petclinic.owner.OwnerController,Owner,showOwner,GET,/owners/{ownerId},,,Spring,"org.springframework.samples.petclinic.owner.OwnerController{name=showOwner,return=org.springframework.web.servlet.ModelAndView,parameters=[int]}"
src/main/java/org/springframework/samples/petclinic/owner/PetController.java,org.springframework.samples.petclinic.owner.PetController,Pet,initCreationForm,GET,/owners/{ownerId}/pets/new,,,Spring,"org.springframework.samples.petclinic.owner.PetController{name=initCreationForm,return=java.lang.String,parameters=[org.springframework.samples.petclinic.owner.Owner,org.springframework.ui.ModelMap]}"
src/main/java/org/springframework/samples/petclinic/owner/PetController.java,org.springframework.samples.petclinic.owner.PetController,Pet,processCreationForm,POST,/owners/{ownerId}/pets/new,,,Spring,"org.springframework.samples.petclinic.owner.PetController{name=processCreationForm,return=java.lang.String,parameters=[org.springframework.samples.petclinic.owner.Owner,org.springframework.samples.petclinic.owner.Pet,org.springframework.validation.BindingResult,org.springframework.web.servlet.mvc.support.RedirectAttributes]}"
src/main/java/org/springframework/samples/petclinic/owner/PetController.java,org.springframework.samples.petclinic.owner.PetController,Pet,initUpdateForm,GET,/owners/{ownerId}/pets/{petId}/edit,,,Spring,"org.springframework.samples.petclinic.owner.PetController{name=initUpdateForm,return=java.lang.String,parameters=[]}"
src/main/java/org/springframework/samples/petclinic/owner/PetController.java,org.springframework.samples.petclinic.owner.PetController,Pet,processUpdateForm,POST,/owners/{ownerId}/pets/{petId}/edit,,,Spring,"org.springframework.samples.petclinic.owner.PetController{name=processUpdateForm,return=java.lang.String,parameters=[org.springframework.samples.petclinic.owner.Owner,org.springframework.samples.petclinic.owner.Pet,org.springframework.validation.BindingResult,org.springframework.web.servlet.mvc.support.RedirectAttributes]}"
src/main/java/org/springframework/samples/petclinic/owner/VisitController.java,org.springframework.samples.petclinic.owner.VisitController,Visit,initNewVisitForm,GET,/owners/{ownerId}/pets/{petId}/visits/new,,,Spring,"org.springframework.samples.petclinic.owner.VisitController{name=initNewVisitForm,return=java.lang.String,parameters=[]}"
src/main/java/org/springframework/samples/petclinic/owner/VisitController.java,org.springframework.samples.petclinic.owner.VisitController,Visit,processNewVisitForm,POST,/owners/{ownerId}/pets/{petId}/visits/new,,,Spring,"org.springframework.samples.petclinic.owner.VisitController{name=processNewVisitForm,return=java.lang.String,parameters=[org.springframework.samples.petclinic.owner.Owner,int,org.springframework.samples.petclinic.owner.Visit,org.springframework.validation.BindingResult,org.springframework.web.servlet.mvc.support.RedirectAttributes]}"
src/main/java/org/springframework/samples/petclinic/system/CrashController.java,org.springframework.samples.petclinic.system.CrashController,Crash,triggerException,GET,/oups,,,Spring,"org.springframework.samples.petclinic.system.CrashController{name=triggerException,return=java.lang.String,parameters=[]}"
src/main/java/org/springframework/samples/petclinic/system/WelcomeController.java,org.springframework.samples.petclinic.system.WelcomeController,Welcome,welcome,GET,/,,,Spring,"org.springframework.samples.petclinic.system.WelcomeController{name=welcome,return=java.lang.String,parameters=[]}"
src/main/java/org/springframework/samples/petclinic/vet/VetController.java,org.springframework.samples.petclinic.vet.VetController,Vet,showVetList,GET,/vets.html,,,Spring,"org.springframework.samples.petclinic.vet.VetController{name=showVetList,return=java.lang.String,parameters=[int,org.springframework.ui.Model]}"
src/main/java/org/springframework/samples/petclinic/vet/VetController.java,org.springframework.samples.petclinic.vet.VetController,Vet,showResourcesVetList,GET,/,,,Spring,"org.springframework.samples.petclinic.vet.VetController{name=showResourcesVetList,return=org.springframework.samples.petclinic.vet.Vets,parameters=[]}"
